Initialize dataset with 23013 characters, 56 unique.
Epoch 0 [2018-09-28 12:22] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 545.62, Accuracy = 0.02, Loss = 4.039
Epoch 5 [2018-09-28 12:23] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 6416.53, Accuracy = 0.77, Loss = 0.756
Epoch 5 [2018-09-28 12:24] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 6282.72, Accuracy = 0.76, Loss = 0.778
Epoch 5 [2018-09-28 12:24] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 766.21, Accuracy = 0.76, Loss = 0.782
Epoch 5 [2018-09-28 12:24] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 3901.05, Accuracy = 0.76, Loss = 0.766
Epoch 5 [2018-09-28 12:24] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 772.76, Accuracy = 0.75, Loss = 0.798
Epoch 5 [2018-09-28 12:24] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 4885.35, Accuracy = 0.75, Loss = 0.769
Epoch 5 [2018-09-28 12:24] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 4910.91, Accuracy = 0.78, Loss = 0.754
Epoch 5 [2018-09-28 12:24] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 791.48, Accuracy = 0.78, Loss = 0.735
Epoch 5 [2018-09-28 12:24] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 749.39, Accuracy = 0.78, Loss = 0.722
Epoch 5 [2018-09-28 12:24] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 6013.74, Accuracy = 0.78, Loss = 0.727
Epoch 5 [2018-09-28 12:24] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 6211.91, Accuracy = 0.76, Loss = 0.750
Epoch 5 [2018-09-28 12:24] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 5519.39, Accuracy = 0.78, Loss = 0.696
Epoch 5 [2018-09-28 12:24] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 786.33, Accuracy = 0.78, Loss = 0.716
Epoch 5 [2018-09-28 12:24] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 773.39, Accuracy = 0.79, Loss = 0.693
Evaluating: 
Epoch 5 [2018-09-28 12:24] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 756.52, Accuracy = 0.77, Loss = 0.752
Epoch 5 [2018-09-28 12:24] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 5681.90, Accuracy = 0.79, Loss = 0.700
Epoch 5 [2018-09-28 12:24] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 5661.40, Accuracy = 0.78, Loss = 0.693
Epoch 5 [2018-09-28 12:24] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 4932.21, Accuracy = 0.77, Loss = 0.740
Epoch 5 [2018-09-28 12:24] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 771.51, Accuracy = 0.77, Loss = 0.727
Epoch 5 [2018-09-28 12:24] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 5075.26, Accuracy = 0.77, Loss = 0.703
Epoch 5 [2018-09-28 12:24] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 4345.30, Accuracy = 0.80, Loss = 0.691
Epoch 5 [2018-09-28 12:24] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 5654.61, Accuracy = 0.77, Loss = 0.717
Epoch 5 [2018-09-28 12:24] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 753.45, Accuracy = 0.79, Loss = 0.699
Epoch 5 [2018-09-28 12:24] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 764.19, Accuracy = 0.78, Loss = 0.722
Epoch 5 [2018-09-28 12:24] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 797.51, Accuracy = 0.77, Loss = 0.733
Epoch 5 [2018-09-28 12:24] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 3327.20, Accuracy = 0.78, Loss = 0.716
Epoch 5 [2018-09-28 12:24] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 5094.81, Accuracy = 0.80, Loss = 0.673
Epoch 5 [2018-09-28 12:24] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 5674.69, Accuracy = 0.79, Loss = 0.682
Epoch 5 [2018-09-28 12:24] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 761.96, Accuracy = 0.79, Loss = 0.708
Epoch 6 [2018-09-28 12:24] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 752.09, Accuracy = 0.78, Loss = 0.728
Evaluating: 
Epoch 6 [2018-09-28 12:24] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 4960.92, Accuracy = 0.79, Loss = 0.684
Epoch 6 [2018-09-28 12:24] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 5642.36, Accuracy = 0.79, Loss = 0.703
Epoch 6 [2018-09-28 12:24] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 4172.01, Accuracy = 0.80, Loss = 0.668
Epoch 6 [2018-09-28 12:24] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 769.81, Accuracy = 0.78, Loss = 0.711
Epoch 6 [2018-09-28 12:24] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 760.26, Accuracy = 0.78, Loss = 0.693
Epoch 6 [2018-09-28 12:24] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 779.84, Accuracy = 0.80, Loss = 0.656
Epoch 6 [2018-09-28 12:24] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 774.03, Accuracy = 0.79, Loss = 0.671
Epoch 6 [2018-09-28 12:24] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 5450.36, Accuracy = 0.79, Loss = 0.714
Epoch 6 [2018-09-28 12:24] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 4247.67, Accuracy = 0.78, Loss = 0.719
Epoch 6 [2018-09-28 12:24] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 5576.26, Accuracy = 0.79, Loss = 0.675
Epoch 6 [2018-09-28 12:24] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 766.88, Accuracy = 0.79, Loss = 0.681
Epoch 6 [2018-09-28 12:24] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 737.64, Accuracy = 0.79, Loss = 0.667
Epoch 6 [2018-09-28 12:24] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 763.17, Accuracy = 0.79, Loss = 0.675
Epoch 6 [2018-09-28 12:24] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 5449.25, Accuracy = 0.80, Loss = 0.656
Epoch 6 [2018-09-28 12:24] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 4176.68, Accuracy = 0.80, Loss = 0.657
Epoch 6 [2018-09-28 12:24] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 759.20, Accuracy = 0.80, Loss = 0.651
Epoch 6 [2018-09-28 12:24] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 765.03, Accuracy = 0.80, Loss = 0.662
Epoch 6 [2018-09-28 12:24] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 4864.37, Accuracy = 0.81, Loss = 0.661
Epoch 6 [2018-09-28 12:24] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 5685.75, Accuracy = 0.79, Loss = 0.664
Epoch 6 [2018-09-28 12:24] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 5102.66, Accuracy = 0.78, Loss = 0.686
Evaluating: 
Epoch 6 [2018-09-28 12:24] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 2921.87, Accuracy = 0.80, Loss = 0.664
Epoch 6 [2018-09-28 12:24] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 763.18, Accuracy = 0.81, Loss = 0.650
Epoch 6 [2018-09-28 12:24] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 4749.81, Accuracy = 0.79, Loss = 0.720
Epoch 6 [2018-09-28 12:24] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 5195.89, Accuracy = 0.80, Loss = 0.639
Epoch 6 [2018-09-28 12:24] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 5668.22, Accuracy = 0.81, Loss = 0.646
Epoch 6 [2018-09-28 12:24] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 726.96, Accuracy = 0.79, Loss = 0.680
Epoch 6 [2018-09-28 12:24] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 4139.52, Accuracy = 0.80, Loss = 0.645
Epoch 6 [2018-09-28 12:24] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 4891.32, Accuracy = 0.80, Loss = 0.696
Epoch 6 [2018-09-28 12:24] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 705.78, Accuracy = 0.81, Loss = 0.616
Epoch 6 [2018-09-28 12:24] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 4660.10, Accuracy = 0.80, Loss = 0.657
Epoch 6 [2018-09-28 12:24] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 764.58, Accuracy = 0.81, Loss = 0.655
Epoch 6 [2018-09-28 12:24] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 695.93, Accuracy = 0.81, Loss = 0.628
Epoch 6 [2018-09-28 12:24] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 694.08, Accuracy = 0.82, Loss = 0.617
Epoch 6 [2018-09-28 12:24] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 761.66, Accuracy = 0.80, Loss = 0.665
Epoch 6 [2018-09-28 12:24] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 687.87, Accuracy = 0.81, Loss = 0.650
Epoch 7 [2018-09-28 12:24] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 696.48, Accuracy = 0.79, Loss = 0.657
Evaluating: 
Epoch 7 [2018-09-28 12:24] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 624.40, Accuracy = 0.80, Loss = 0.659
Epoch 7 [2018-09-28 12:24] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 655.37, Accuracy = 0.80, Loss = 0.628
Epoch 7 [2018-09-28 12:24] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 5900.07, Accuracy = 0.81, Loss = 0.612
Epoch 7 [2018-09-28 12:24] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 691.24, Accuracy = 0.81, Loss = 0.621
Epoch 7 [2018-09-28 12:24] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 703.75, Accuracy = 0.81, Loss = 0.626
Epoch 7 [2018-09-28 12:24] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 672.33, Accuracy = 0.81, Loss = 0.641
Epoch 7 [2018-09-28 12:24] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 5639.87, Accuracy = 0.81, Loss = 0.622
Epoch 7 [2018-09-28 12:24] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 642.46, Accuracy = 0.82, Loss = 0.603
Epoch 7 [2018-09-28 12:24] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 704.70, Accuracy = 0.81, Loss = 0.660
Epoch 7 [2018-09-28 12:24] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 4621.98, Accuracy = 0.82, Loss = 0.615
Epoch 7 [2018-09-28 12:24] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 669.65, Accuracy = 0.81, Loss = 0.611
Epoch 7 [2018-09-28 12:24] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 4228.66, Accuracy = 0.81, Loss = 0.642
Epoch 7 [2018-09-28 12:24] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 709.96, Accuracy = 0.80, Loss = 0.643
Epoch 7 [2018-09-28 12:24] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 697.44, Accuracy = 0.81, Loss = 0.611
Epoch 7 [2018-09-28 12:24] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 684.41, Accuracy = 0.81, Loss = 0.640
Epoch 7 [2018-09-28 12:24] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 731.71, Accuracy = 0.81, Loss = 0.620
Epoch 7 [2018-09-28 12:24] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 4661.15, Accuracy = 0.81, Loss = 0.629
Epoch 7 [2018-09-28 12:24] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 378.17, Accuracy = 0.80, Loss = 0.642
Epoch 7 [2018-09-28 12:24] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 751.94, Accuracy = 0.82, Loss = 0.598
Epoch 7 [2018-09-28 12:24] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 686.93, Accuracy = 0.82, Loss = 0.608
Evaluating: 
Epoch 7 [2018-09-28 12:24] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 3850.58, Accuracy = 0.82, Loss = 0.597
Epoch 7 [2018-09-28 12:24] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 648.71, Accuracy = 0.82, Loss = 0.592
Epoch 7 [2018-09-28 12:24] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 3869.40, Accuracy = 0.81, Loss = 0.611
Epoch 7 [2018-09-28 12:24] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 669.42, Accuracy = 0.82, Loss = 0.600
Epoch 7 [2018-09-28 12:24] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 858.02, Accuracy = 0.82, Loss = 0.575
Epoch 7 [2018-09-28 12:24] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 692.58, Accuracy = 0.81, Loss = 0.613
Epoch 7 [2018-09-28 12:24] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 658.26, Accuracy = 0.83, Loss = 0.567
Epoch 7 [2018-09-28 12:24] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 710.40, Accuracy = 0.81, Loss = 0.590
Epoch 7 [2018-09-28 12:24] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 606.98, Accuracy = 0.84, Loss = 0.549
Epoch 7 [2018-09-28 12:25] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 3234.90, Accuracy = 0.81, Loss = 0.613
Epoch 7 [2018-09-28 12:25] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 2278.72, Accuracy = 0.82, Loss = 0.598
Epoch 7 [2018-09-28 12:25] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 693.28, Accuracy = 0.81, Loss = 0.605
Epoch 7 [2018-09-28 12:25] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 4572.85, Accuracy = 0.82, Loss = 0.586
Epoch 7 [2018-09-28 12:25] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 697.67, Accuracy = 0.83, Loss = 0.558
Epoch 7 [2018-09-28 12:25] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 4559.34, Accuracy = 0.81, Loss = 0.621
Epoch 8 [2018-09-28 12:25] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 737.35, Accuracy = 0.81, Loss = 0.604
Evaluating: 
Epoch 8 [2018-09-28 12:25] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 590.20, Accuracy = 0.81, Loss = 0.596
Epoch 8 [2018-09-28 12:25] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 648.76, Accuracy = 0.82, Loss = 0.576
Epoch 8 [2018-09-28 12:25] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 5044.74, Accuracy = 0.81, Loss = 0.592
Epoch 8 [2018-09-28 12:25] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 742.91, Accuracy = 0.82, Loss = 0.587
Epoch 8 [2018-09-28 12:25] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 653.53, Accuracy = 0.82, Loss = 0.604
Epoch 8 [2018-09-28 12:25] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 3984.55, Accuracy = 0.83, Loss = 0.579
Epoch 8 [2018-09-28 12:25] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 751.89, Accuracy = 0.83, Loss = 0.576
Epoch 8 [2018-09-28 12:25] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 5141.46, Accuracy = 0.82, Loss = 0.571
Epoch 8 [2018-09-28 12:25] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 6218.39, Accuracy = 0.83, Loss = 0.583
Epoch 8 [2018-09-28 12:25] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 6305.30, Accuracy = 0.82, Loss = 0.580
Epoch 8 [2018-09-28 12:25] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 794.41, Accuracy = 0.83, Loss = 0.558
Epoch 8 [2018-09-28 12:25] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 788.91, Accuracy = 0.83, Loss = 0.540
Epoch 8 [2018-09-28 12:25] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 4513.64, Accuracy = 0.82, Loss = 0.579
Epoch 8 [2018-09-28 12:25] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 5665.35, Accuracy = 0.83, Loss = 0.561
Epoch 8 [2018-09-28 12:25] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 769.07, Accuracy = 0.81, Loss = 0.585
Epoch 8 [2018-09-28 12:25] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 761.44, Accuracy = 0.83, Loss = 0.564
Epoch 8 [2018-09-28 12:25] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 5984.65, Accuracy = 0.81, Loss = 0.622
Epoch 8 [2018-09-28 12:25] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 6434.22, Accuracy = 0.82, Loss = 0.599
Epoch 8 [2018-09-28 12:25] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 4957.90, Accuracy = 0.83, Loss = 0.545
Epoch 8 [2018-09-28 12:25] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 4464.10, Accuracy = 0.83, Loss = 0.577
Evaluating: 
Epoch 8 [2018-09-28 12:25] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 6052.93, Accuracy = 0.83, Loss = 0.572
Epoch 8 [2018-09-28 12:25] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 4776.01, Accuracy = 0.82, Loss = 0.564
Epoch 8 [2018-09-28 12:25] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 753.06, Accuracy = 0.82, Loss = 0.589
Epoch 8 [2018-09-28 12:25] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 775.58, Accuracy = 0.82, Loss = 0.582
Epoch 8 [2018-09-28 12:25] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 752.14, Accuracy = 0.84, Loss = 0.552
Epoch 8 [2018-09-28 12:25] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 6194.57, Accuracy = 0.82, Loss = 0.578
Epoch 8 [2018-09-28 12:25] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 767.12, Accuracy = 0.83, Loss = 0.538
Epoch 8 [2018-09-28 12:25] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 4639.48, Accuracy = 0.83, Loss = 0.575
Epoch 8 [2018-09-28 12:25] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 4612.37, Accuracy = 0.83, Loss = 0.532
Epoch 8 [2018-09-28 12:25] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 6555.04, Accuracy = 0.85, Loss = 0.550
Epoch 8 [2018-09-28 12:25] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 6332.82, Accuracy = 0.83, Loss = 0.538
Epoch 8 [2018-09-28 12:25] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 6383.87, Accuracy = 0.83, Loss = 0.527
Epoch 8 [2018-09-28 12:25] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 6346.89, Accuracy = 0.82, Loss = 0.580
Epoch 8 [2018-09-28 12:25] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 759.59, Accuracy = 0.83, Loss = 0.553
Epoch 8 [2018-09-28 12:25] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 745.90, Accuracy = 0.82, Loss = 0.580
Epoch 9 [2018-09-28 12:25] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 4547.52, Accuracy = 0.82, Loss = 0.541
Evaluating: 
Epoch 9 [2018-09-28 12:25] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 5722.47, Accuracy = 0.83, Loss = 0.559
Epoch 9 [2018-09-28 12:25] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 757.30, Accuracy = 0.83, Loss = 0.545
Epoch 9 [2018-09-28 12:25] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 6505.48, Accuracy = 0.83, Loss = 0.542
Epoch 9 [2018-09-28 12:25] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 6407.19, Accuracy = 0.84, Loss = 0.538
Epoch 9 [2018-09-28 12:25] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 6662.25, Accuracy = 0.83, Loss = 0.559
Epoch 9 [2018-09-28 12:25] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 6536.84, Accuracy = 0.83, Loss = 0.542
Epoch 9 [2018-09-28 12:25] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 6422.98, Accuracy = 0.84, Loss = 0.545
Epoch 9 [2018-09-28 12:25] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 5531.44, Accuracy = 0.83, Loss = 0.552
Epoch 9 [2018-09-28 12:25] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 6382.66, Accuracy = 0.84, Loss = 0.541
Epoch 9 [2018-09-28 12:25] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 6201.87, Accuracy = 0.83, Loss = 0.562
Epoch 9 [2018-09-28 12:25] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 6696.82, Accuracy = 0.83, Loss = 0.540
Epoch 9 [2018-09-28 12:25] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 6503.58, Accuracy = 0.83, Loss = 0.542
Epoch 9 [2018-09-28 12:25] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 6503.74, Accuracy = 0.84, Loss = 0.541
Epoch 9 [2018-09-28 12:25] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 755.36, Accuracy = 0.84, Loss = 0.516
Epoch 9 [2018-09-28 12:25] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 803.73, Accuracy = 0.82, Loss = 0.563
Epoch 9 [2018-09-28 12:25] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 6412.08, Accuracy = 0.83, Loss = 0.551
Epoch 9 [2018-09-28 12:25] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 6692.65, Accuracy = 0.84, Loss = 0.549
Epoch 9 [2018-09-28 12:25] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 5833.27, Accuracy = 0.84, Loss = 0.521
Epoch 9 [2018-09-28 12:25] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 6554.24, Accuracy = 0.84, Loss = 0.521
Epoch 9 [2018-09-28 12:25] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 6185.58, Accuracy = 0.83, Loss = 0.554
Evaluating: 
Epoch 9 [2018-09-28 12:25] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 5075.83, Accuracy = 0.85, Loss = 0.507
Epoch 9 [2018-09-28 12:25] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 6155.36, Accuracy = 0.84, Loss = 0.536
Epoch 9 [2018-09-28 12:25] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 784.73, Accuracy = 0.83, Loss = 0.551
Epoch 9 [2018-09-28 12:25] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 772.09, Accuracy = 0.83, Loss = 0.551
Epoch 9 [2018-09-28 12:25] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 750.36, Accuracy = 0.84, Loss = 0.531
Epoch 9 [2018-09-28 12:25] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 735.65, Accuracy = 0.84, Loss = 0.549
Epoch 9 [2018-09-28 12:25] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 833.73, Accuracy = 0.83, Loss = 0.553
Epoch 9 [2018-09-28 12:25] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 755.95, Accuracy = 0.83, Loss = 0.534
Epoch 9 [2018-09-28 12:25] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 4630.19, Accuracy = 0.84, Loss = 0.540
Epoch 9 [2018-09-28 12:25] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 762.94, Accuracy = 0.83, Loss = 0.536
Epoch 9 [2018-09-28 12:25] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 4858.56, Accuracy = 0.85, Loss = 0.519
Epoch 9 [2018-09-28 12:25] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 759.73, Accuracy = 0.84, Loss = 0.493
Epoch 9 [2018-09-28 12:25] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 769.30, Accuracy = 0.83, Loss = 0.531
Epoch 9 [2018-09-28 12:25] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 4900.07, Accuracy = 0.84, Loss = 0.540
Epoch 9 [2018-09-28 12:25] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 758.93, Accuracy = 0.84, Loss = 0.519
